Name,Total_Count,Dominant_Gender,Origin_Region
Summer,71850,F,Anglo
Shaun,71591,M,Anglo
Rebekah,71546,F,Anglo
Belinda,71480,F,Anglo
Dominique,71327,F,Anglo
Terrence,70883,M,Anglo
Alberta,70658,F,Anglo
Armando,70432,M,Anglo
Morris,70397,M,Anglo
Kristy,70288,F,Anglo
Rene,70014,M,Anglo
Aaliyah,69917,F,African_MiddleEastern
Bianca,69606,F,Irish_Italian
Clifton,69590,M,Anglo
Verna,69204,F,Anglo
Jeannette,69008,F,Anglo
Opal,68994,F,Anglo
Stuart,68547,M,Anglo
Terrance,68351,M,Anglo
Cesar,68240,M,Latin
Inez,68129,F,Anglo
Kent,68076,M,Anglo
Kaleb,68059,M,Anglo
Payton,67958,F,Anglo
Gracie,67865,F,Anglo
Faye,67568,F,Anglo
Cooper,67527,M,Anglo
Kirk,67518,M,Anglo
Flora,67495,F,Anglo
Ramona,67472,F,Anglo
Rosalie,67466,F,Anglo
Candice,67453,F,Anglo
Cheyenne,67123,F,Anglo
Miles,67069,M,Anglo
Dallas,67028,M,Anglo
Donnie,66992,M,Anglo
Della,66927,F,Anglo
Marco,66891,M,Latin
Pat,66853,F,Anglo
Erick,66659,M,Anglo
Wade,66647,M,Anglo
Daryl,66294,M,Anglo
Gayle,66239,F,Anglo
Luther,66143,M,Anglo
Adrienne,66122,F,Anglo
Emmanuel,65746,M,Anglo
Nevaeh,65093,F,Anglo
Sonya,64664,F,Anglo
Sonia,64619,F,Anglo
Felix,64588,M,Anglo
Marianne,64529,F,Anglo
Elena,64106,F,Latin
Jonathon,64038,M,Anglo
Dave,63761,M,Anglo
Harrison,63508,M,Anglo
Fredrick,63410,M,Anglo
Marcella,63291,F,Anglo
Camille,63229,F,Anglo
Skylar,63222,F,Anglo
Nichole,63160,F,Anglo
Yvette,62875,F,Anglo
Patty,62657,F,Anglo
Lynne,62299,F,Anglo
Robyn,62194,F,Anglo
Elias,62119,M,Anglo
Layla,61980,F,African_MiddleEastern
Bennie,61831,M,Anglo
Maryann,61822,F,Anglo
Rickey,61669,M,Anglo
Jada,61496,F,Anglo
Olga,61451,F,Anglo
Damon,61445,M,Anglo
Angie,60985,F,Anglo
Homer,60948,M,Anglo
Dillon,60909,M,Anglo
Carly,60857,F,Anglo
Sheri,60490,F,Anglo
Lila,60481,F,Anglo
Kristopher,60415,M,Anglo
Kennedy,60205,F,Anglo
Dominick,59472,M,Anglo
Malcolm,59031,M,Anglo
Valeria,59029,F,Anglo
Elise,58991,F,Anglo
Kari,58955,F,Anglo
Cristian,58936,M,Anglo
Earnest,58807,M,Anglo
Alberto,58749,M,Anglo
Lorenzo,58355,M,Anglo
Julio,58248,M,Latin
Myra,58098,F,Anglo
Ira,58023,M,Anglo
Zoey,57881,F,Anglo
Otis,57865,M,Anglo
Lyle,57831,M,Anglo
Giovanni,57819,M,Irish_Italian
Ayden,57795,M,Anglo
Loren,57668,M,Anglo
Roxanne,57513,F,Anglo
Gerard,57434,M,Anglo
Hubert,57394,M,Anglo
Tabitha,57106,F,Anglo
Noel,56935,M,Anglo
Wilbur,56844,M,Anglo
Brody,56800,M,Anglo
Kaitlin,56753,F,Anglo
Joey,56557,M,Anglo
Ollie,56482,F,Anglo
Rex,56396,M,Anglo
Karina,56322,F,Anglo
Harley,56231,M,Anglo
Skyler,56119,M,Anglo
Laverne,56035,F,Anglo
Israel,55680,M,Anglo
Abby,55582,F,Anglo
Dianna,55382,F,Anglo
Muriel,55348,F,Anglo
Jonah,55101,M,Anglo
Natalia,55031,F,Latin
Enrique,54950,M,Latin
Erma,54930,F,Anglo
Cassidy,54917,F,Anglo
Celeste,54822,F,Anglo
Salvatore,54662,M,Irish_Italian
Alisha,54496,F,Anglo
Cecelia,54337,F,Anglo
Simon,54204,M,Anglo
Horace,54119,M,Anglo
Gianna,54055,F,Irish_Italian
Neal,54046,M,Anglo
Geoffrey,53914,M,Anglo
Caden,53812,M,Anglo
Daniela,53658,F,Latin
Kaden,53612,M,Anglo
Wendell,53427,M,Anglo
Vicky,53410,F,Anglo
Mckenzie,53316,F,Anglo
Rudolph,53260,M,Anglo
Josie,53165,F,Anglo
Bernadette,53059,F,Anglo
Trenton,53029,M,Anglo
Celia,53018,F,Anglo
Alfredo,52991,M,Anglo
Gage,52976,M,Anglo
Mable,52940,F,Anglo
Gretchen,52896,F,Anglo
Mallory,52895,F,Anglo
Roman,52721,M,Anglo
Genesis,52702,F,Anglo
Aimee,52672,F,Anglo
Callie,52584,F,Anglo
Kirsten,52505,F,Anglo
